"";"X";"codigo_ibge";"idade_media";"idade_media_diabetes"
"586";586;3553609;58,8571428571429;60,7777777777778
"587";587;3553658;77,7142857142857;74
"588";588;3553708;66,1323529411765;67,5263157894737
"589";589;3553807;68,62;65,4615384615385
"590";590;3553856;63,1666666666667;55,5
"591";591;3553906;66,0666666666667;67,25
"592";592;3553955;64,15625;62,9375
"593";593;3554003;67,625;67,4683544303797
"594";594;3554102;69,5116279069767;68,6858974358974
"595";595;3554201;79,3333333333333;46
"596";596;3554300;64,2;62
"597";597;3554409;63,25;60,6666666666667
"598";598;3554508;66,4285714285714;64,2941176470588
"599";599;3554607;77;71,6666666666667
"600";600;3554656;76,8333333333333;76,2
"601";601;3554706;74,4615384615385;59,4
"602";602;3554755;56,5;64
"603";603;3554805;71,7368421052632;65,4117647058823
"604";604;3554904;67,7692307692308;70,1538461538462
"605";605;3555000;70,4851485148515;63,9310344827586
"606";606;3555109;69,8461538461538;70,2857142857143
"607";607;3555307;77;70
"608";608;3555356;68;61,4285714285714
"609";609;3555406;67,625;67,675
"610";610;3555505;71;66,5
"611";611;3555604;76,4736842105263;72,25
"612";612;3555703;60;41
"613";613;3555802;66,8947368421053;68,8181818181818
"614";614;3555901;68,25;72,5
"615";615;3556008;68,7241379310345;63
"616";616;3556107;66,1428571428571;67,45
"617";617;3556206;69,6457142857143;67,2857142857143
"618";618;3556305;64,8947368421053;63,7222222222222
"619";619;3556354;73,25;75
"620";620;3556404;65,2068965517241;68,0416666666667
"621";621;3556453;65,1428571428571;64,7619047619048
"622";622;3556503;66,5252525252525;65,1368421052632
"623";623;3556602;70,4761904761905;69,2
"624";624;3556701;69,41;67,6764705882353
"625";625;3556800;66,3939393939394;62,4285714285714
"626";626;3556909;68,5;71,25
"627";627;3556958;72,8333333333333;68
"628";628;3557006;67,4814814814815;67,0566037735849
"629";629;3557105;68,195020746888;67,4179104477612
"630";630;3557154;65,8571428571429;61,4444444444444
"631";631;3557204;66;64,8421052631579
"632";632;3557303;56,125;60
